user_id,salon_id,rating,comment,created_at
1,2,5,"Excellent service and very professional staff! The salon is beautiful and clean.","2025-03-01T10:00:00Z"
2,2,4,"Great experience overall. The staff was friendly and skilled.","2025-03-05T14:30:00Z"
3,2,5,"Love the ambiance and the quality of service. Will definitely come back!","2025-03-10T16:45:00Z"
1,3,4,"Very good salon with professional staff. Slightly expensive but worth it.","2025-03-02T11:20:00Z"
2,3,5,"Amazing experience! The staff really knows what they're doing.","2025-03-07T13:15:00Z"
3,3,4,"Good service but had to wait a bit. Results were great though.","2025-03-12T15:30:00Z"
1,4,5,"Absolutely fantastic! The bridal package was perfect.","2025-03-03T09:45:00Z"
2,4,5,"Best salon experience ever! Very luxurious and professional.","2025-03-08T12:00:00Z"
3,4,5,"Outstanding service and results. Highly recommend!","2025-03-13T14:20:00Z"
1,5,4,"Nice atmosphere and good service. Will visit again.","2025-03-04T10:30:00Z"
2,5,5,"Excellent attention to detail. Very satisfied with the results.","2025-03-09T11:45:00Z"
3,5,4,"Good experience overall. Staff was very helpful.","2025-03-14T13:00:00Z"
1,6,5,"Modern and trendy salon with skilled staff.","2025-03-15T15:15:00Z"
2,6,4,"Great hair coloring service. Very happy with the results.","2025-03-16T16:30:00Z"
3,6,5,"Professional and friendly staff. Clean and stylish salon.","2025-03-17T14:45:00Z"
